Identifier,COMPANY 1 2023,PCT OF TOTAL 1 2023,COMPANY 2 2023,PCT OF TOTAL 2 2023,COMPANY 3 2023,PCT OF TOTAL 3 2023,COMPANY 1 2010,PCT OF TOTAL 1 2010,COMPANY 2 2010,PCT OF TOTAL 2 2010,COMPANY 3 2010,PCT OF TOTAL 3 2010,COMPANY 1 2000,PCT OF TOTAL 1 2000,COMPANY 2 2000,PCT OF TOTAL 2 2000,COMPANY 3 2000,PCT OF TOTAL 3 2000
AK,KROGER CO,0.278,ALBERTSONS CO INC,0.241,WALMART INC,0.156,SAFEWAY INC,0.281,WAL-MART STORES INC,0.206,COSTCO WHOLESALE CORP,0.032,SAFEWAY INC,0.312,ALASKA COMMERCIAL CO,0.113,ALASKAN & PROUD KETCHIKAN,0.041
AL,WALMART INC,0.347,PUBLIX SUPER MARKETS INC,0.175,LONE STAR FUNDS,0.078,WAL-MART STORES INC,0.273,WINN-DIXIE STORES INC,0.135,PIGGLY WIGGLY LLC,0.096,WINN-DIXIE STORES INC,0.23,FLEMING CO INC,0.105,JITNEY JUNGLE STORES-AMERICA,0.1
AR,WALMART INC,0.498,HARP'S FOOD STORES INC,0.104,KROGER CO,0.096,WAL-MART STORES INC,0.385,KROGER,0.121,HARP'S FOOD STORES INC,0.042,TYSON FOODS INC,0.098,FLEMING CO INC,0.083,KROGER CO,0.079
AZ,KROGER CO,0.227,WALMART INC,0.205,ALBERTSONS CO INC,0.198,KROGER,0.282,SAFEWAY INC,0.184,BASHAS' SUPERMARKETS,0.142,KROGER CO,0.261,TOSCO CORP,0.131,BASHA'S,0.119
CA,ALBERTSONS CO INC,0.187,WALMART INC,0.1,KROGER CO,0.073,SAFEWAY INC,0.166,KROGER,0.095,SUPERVALU INC,0.077,ALBERTSON'S INC,0.166,KROGER CO,0.119,SAFEWAY INC,0.064
CO,KROGER CO,0.369,WALMART INC,0.19,ALBERTSONS CO INC,0.175,KROGER,0.356,SAFEWAY INC,0.188,WAL-MART STORES INC,0.132,KROGER CO,0.181,ALBERTSON'S INC,0.175,SAFEWAY INC,0.139
CT,AHOLD DELHAIZE USA INC,0.315,WAKEFERN FOOD CORP INC,0.144,BIG Y FOODS INC,0.122,AHOLD USA INC,0.184,WAKEFERN FOOD CORP,0.119,WAL-MART STORES INC,0.101,GRAND UNION CO,0.219,AHOLD USA INC,0.083,BIG Y FOODS INC,0.071
DC,ALBERTSONS CO INC,0.267,AMAZON.COM INC,0.241,AHOLD DELHAIZE USA INC,0.139,SAFEWAY INC,0.395,WHOLE FOODS MARKET INC,0.145,AHOLD USA INC,0.113,SAFEWAY INC,0.185,AHOLD USA INC,0.153,FRESH FIELDS-WHOLE FOODS MRKT,0.07
DE,ALBERTSONS CO INC,0.272,AHOLD DELHAIZE USA INC,0.195,WALMART INC,0.137,SUPERVALU INC,0.177,GREAT ATLANTIC & PACIFIC TEA,0.163,DELHAIZE AMERICA INC,0.132,ALBERTSON'S INC,0.253,FLEMING CO INC,0.125,FOOD LION INC,0.12
FL,PUBLIX SUPER MARKETS INC,0.464,WALMART INC,0.218,LONE STAR FUNDS,0.126,PUBLIX SUPER MARKETS INC,0.467,WINN-DIXIE STORES INC,0.171,WAL-MART STORES INC,0.143,WINN-DIXIE STORES INC,0.344,PUBLIX SUPERMARKETS INC,0.14,FOOD LION INC,0.061
GA,WALMART INC,0.244,PUBLIX SUPER MARKETS INC,0.23,KROGER CO,0.182,PUBLIX SUPER MARKETS INC,0.223,KROGER,0.204,WAL-MART STORES INC,0.163,KROGER CO,0.132,WINN-DIXIE STORES INC,0.127,INGLES MARKETS INC,0.119
